m_grid=400 n_grid=800 threshold=0.9 endtime=5s
time/s nx ny dist_hor dist_ver alpha_water Ux(m/s) Uz(m/s) acceleration(m^2/s) convergence
1.1974 169 261 0 0 0.996118021222 -0.0189355566569 -4.77825103565 -2.83810762738 5.93928415006e-05
1.1975 169 255 0 0 0.996523255319 -0.0190126647126 -4.77853529362 2.84257963374 5.94899600822e-05
1.1976 169 248 0 0 0.997035805461 -0.0189482113174 -4.77861177474 0.76481127004 1.60051401328e-05
1.1977 169 242 0 0 0.996475560914 -0.0191232993295 -4.77829143824 -3.2033650376 6.70354736606e-05
1.1978 169 236 0 0 0.997089272034 -0.0192336025695 -4.77839309322 1.01654980076 2.1274336526e-05
1.1979 169 229 0 0 0.997275209856 -0.019413396773 -4.77850062022 1.07527000559 2.25027532187e-05
1.198 169 223 0 0 0.997514561493 -0.0193626881832 -4.7785440458 0.434255806212 9.08770011192e-06
1.1981 169 216 0 0 0.997549317218 -0.0194071921107 -4.778476743 -0.673027989784 1.40843734688e-05
1.1982 169 210 0 0 0.997022254653 -0.0195317461481 -4.77835988156 -1.1686144587 2.44557946297e-05
1.1983 169 204 0 0 0.997262929601 -0.0192077089169 -4.7783561408 -0.0374075938225 7.82854258569e-07
1.1984 169 197 0 -400 0.997263098556 -0.0191003565598 -4.77857769754 2.21556738816 4.63667278636e-05
1.1985 169 591 0 0 0.996763780136 -0.0191828441697 -4.77854921053 -0.284870097955 5.96139931139e-06
1.1986 169 585 0 0 0.997457730999 -0.018879131865 -4.77879958155 2.50371027914 5.23947785998e-05
1.1987 169 578 0 0 0.997099512777 -0.0189633852229 -4.77873562181 -0.639597484362 1.33840616968e-05
1.1988 169 572 0 0 0.996516043441 -0.0194099553634 -4.77873770017 0.0207836455601 4.34919342792e-07
1.1989 169 565 0 0 0.996696108269 -0.0189572856691 -4.77882482523 0.871250641055 1.82318155069e-05
1.199 169 559 0 0 0.99632229617 -0.0193205325046 -4.77849617021 -3.28655021693 6.87731887465e-05
1.1991 169 553 0 0 0.996945182979 -0.0194528707591 -4.77894195745 4.45787234053 9.3290277563e-05
1.1992 169 546 0 0 0.996957437075 -0.0194870621486 -4.77886796769 -0.739897597342 1.54824562409e-05
1.1993 169 540 0 0 0.996490454315 -0.0194165206861 -4.77862081218 -2.47155504338 5.1718420766e-05
1.1994 169 534 0 0 0.997296372982 -0.0191821248836 -4.77894701784 3.26205659241 6.82635580562e-05
1.1995 169 527 0 0 0.997190596624 -0.0192401545972 -4.77849731646 -4.49701386281 9.41005172483e-05
1.1996 169 521 0 0 0.996698980591 -0.0192822529297 -4.77856794093 0.706244725706 1.47796405216e-05
1.1997 169 515 0 0 0.997190196444 -0.0192597596519 -4.77858224386 0.143029328603 2.99314209552e-06
1.1998 169 508 0 0 0.997233697458 -0.0190746262889 -4.77853140678 -0.508370814654 1.0638528097e-05
1.1999 169 502 0 0 0.996997672048 -0.0191294767854 -4.77866708581 1.3567903172 2.83934581925e-05
1.2 169 495 0 0 0.997201955895 -0.0192124541835 -4.77846418151 -2.02904301633 4.24604388608e-05
1.2001 169 489 0 0 0.996942685908 -0.0189460966573 -4.77836213922 -1.0204229074 2.13546208287e-05
1.2002 169 483 0 0 0.997106283035 -0.0191621157197 -4.77869589088 3.3375165908 6.98464556173e-05
1.2003 169 476 0 0 0.996738426271 -0.0190386502381 -4.77833436441 -3.61526471309 7.56537933287e-05
1.2004 169 470 0 0 0.996279116398 -0.0187023619631 -4.7783995582 0.651937920306 1.36436228733e-05
1.2005 168 464 0 0 0.996650866383 -0.0187636113317 -4.77873722553 3.37667333098 7.06653616939e-05
1.2006 168 457 0 0 0.996315788576 -0.0183862340629 -4.77883289003 0.956644936529 2.00187809327e-05
1.2007 168 451 0 0 0.996340863406 -0.0181771553695 -4.77845137437 -3.81515657942 7.98344840093e-05
1.2008 168 445 0 0 0.996967437553 -0.0186168766289 -4.77880900595 3.57631579708 7.48425696296e-05
1.2009 168 438 0 0 0.996948970414 -0.0183531957128 -4.77855147084 -2.57535110477 5.38910657774e-05
1.201 168 432 0 0 0.996869056588 -0.0183919127515 -4.77860692568 0.554548388152 1.16049474728e-05
1.2011 168 425 0 0 0.997608041596 -0.018844936763 -4.77882847199 2.21546310748 4.63621122627e-05
1.2012 168 419 0 0 0.997069869198 -0.0190969448563 -4.77877547679 -0.529951931716 1.10895784359e-05
1.2013 168 413 0 0 0.997341382079 -0.0191028016158 -4.77857943364 -1.96043149955 4.10237205968e-05
1.2014 168 406 0 0 0.997503809322 -0.0194344213565 -4.77869372034 1.14286695703 2.39164582884e-05
1.2015 168 400 0 0 0.997078472574 -0.0192966444247 -4.77856885232 -1.24868018321 2.61301572414e-05
1.2016 168 394 0 0 0.997513932203 -0.0189992153949 -4.77842172034 -1.47131981693 3.07899679256e-05
1.2017 168 387 0 0 0.997557660153 -0.0191925245505 -4.77859349193 1.71771589654 3.59473482475e-05
1.2018 168 381 0 0 0.997007708475 -0.0191946426737 -4.77877912712 1.85635190008 3.88472445547e-05
1.2019 168 374 0 0 0.996977886441 -0.0190370246458 -4.77843928814 -3.3983898305 7.11141850271e-05
1.202 168 368 0 0 0.997340239557 -0.0189668663237 -4.77912451833 6.85230193486 0.000143400418456
1.2021 168 362 0 0 0.996979188776 -0.0190958280427 -4.77898211735 -1.42400982144 2.97964578235e-05
1.2022 168 355 0 0 0.997331480753 -0.0191613623142 -4.77913356715 1.51449804478 3.16908079501e-05
1.2023 168 349 0 0 0.99657413837 -0.0190211663651 -4.77912357385 -0.0999329741891 2.09102701954e-06
1.2024 168 343 0 0 0.996947575342 -0.019524579807 -4.77933773116 2.14157310387 4.481100082e-05
1.2025 168 336 0 0 0.996999569718 -0.0195643518664 -4.77953988024 2.02149075143 4.22964616677e-05
1.2026 168 330 0 0 0.996625561969 -0.0195572456007 -4.77912721562 -4.12664619827 8.63398214405e-05
1.2027 168 324 0 0 0.997166538723 -0.0196802200627 -4.7793529617 2.25746082434 4.72358387313e-05
1.2028 168 317 0 0 0.997376830782 -0.0194366844192 -4.77920065476 -1.52306940226 3.18676903436e-05
